user,URL,has_finish,repos,stars
allen7u,https://github.com/allen7u,1,1,1100
JiachenTu,https://github.com/JiachenTu,1,9,235
edwkar,https://github.com/edwkar,1,18,95
Arthur-Lee,https://github.com/Arthur-Lee,1,12,47
xxaxtt,https://github.com/xxaxtt,1,33,37
BobXWu,https://github.com/BobXWu,1,16,114
slowwavesleep,https://github.com/slowwavesleep,1,54,768
mtt1998,https://github.com/mtt1998,1,21,328
KengoA,https://github.com/KengoA,1,17,266
msergein,https://github.com/msergein,1,2,110
loulianzhang,https://github.com/loulianzhang,1,2,47
hitchhicker,https://github.com/hitchhicker,1,18,69
tsbohc,https://github.com/tsbohc,1,9,464
ziloka,https://github.com/ziloka,1,26,1600
jpv-costa,https://github.com/jpv-costa,1,44,144
yest,https://github.com/yest,1,36,76
skydengyao,https://github.com/skydengyao,1,18,61
kamuichan80,https://github.com/kamuichan80,1,14,899
vikramsoni2,https://github.com/vikramsoni2,1,51,141
Liang-Qiu,https://github.com/Liang-Qiu,1,12,250
Ierezell,https://github.com/Ierezell,1,46,298
bacloud22,https://github.com/bacloud22,1,68,361
JonnyS1226,https://github.com/JonnyS1226,1,17,202
syrkis,https://github.com/syrkis,1,32,764
Dexitoy,https://github.com/Dexitoy,1,0,34
gene1974,https://github.com/gene1974,1,27,56
sakrifor,https://github.com/sakrifor,1,15,63
chris1214git,https://github.com/chris1214git,1,8,77
AntonisKl,https://github.com/AntonisKl,1,35,32
MERCHA,https://github.com/MERCHA,1,1,36
unsioer,https://github.com/unsioer,1,18,374
bamboo-nova,https://github.com/bamboo-nova,1,13,55
spiritdjy,https://github.com/spiritdjy,1,9,311
melody-rain,https://github.com/melody-rain,1,77,1400
Hawzen,https://github.com/Hawzen,1,26,161
bayesrule,https://github.com/bayesrule,1,66,1600
d7miiZ,https://github.com/d7miiZ,1,14,67
billqxg,https://github.com/billqxg,1,1,1600
JingyeChen,https://github.com/JingyeChen,1,25,354
makdoudN,https://github.com/makdoudN,1,9,968
liaocs2008,https://github.com/liaocs2008,1,7,490
liuyijiang1994,https://github.com/liuyijiang1994,1,38,420
DrRenardScD,https://github.com/DrRenardScD,1,1,1700
powerpufffs,https://github.com/powerpufffs,1,45,375
